id,title,type,genres,averageRating,numVotes,releaseYear
tt8737152,Toma,movie,"Biography, Drama, Music",8.7,12647,2021
tt6111552,"Content Cop",tvSeries,"Comedy, Crime, Talk-Show",8.7,12616,2015
tt7621364,"Black Pearl",tvSeries,Drama,8.7,12552,2017
tt0765833,"Happy Days",movie,"Comedy, Drama, Family",8.7,12142,1978
tt4269716,Umbre,tvSeries,"Crime, Drama, Thriller",8.7,11665,2014
tt7094780,"Mr. Sunshine",tvSeries,"Action, Drama, Romance",8.7,10964,2018
tt0090015,Shoah,movie,"Documentary, History, War",8.7,10767,1985
tt10554898,"The Untamed",tvSeries,"Action, Adventure, Drama",8.7,10525,2019
tt0114369,Se7en,movie,"Crime, Drama, Mystery",8.6,1842515,1995
tt0102926,"The Silence of the Lambs",movie,"Crime, Drama, Thriller",8.6,1582828,1991
tt0120815,"Saving Private Ryan",movie,"Drama, War",8.6,1525688,1998
tt0076759,"Star Wars: Episode IV - A New Hope",movie,"Action, Adventure, Fantasy",8.6,1474103,1977
tt0120689,"The Green Mile",movie,"Crime, Drama, Fantasy",8.6,1438285,1999
tt0103064,"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",8.6,1197770,1991
tt0245429,"Spirited Away",movie,"Adventure, Animation, Family",8.6,874167,2001
tt0317248,"City of God",movie,"Crime, Drama",8.6,815381,2002
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,797094,2006
tt0118799,"Life Is Beautiful",movie,"Comedy, Drama, Romance",8.6,756193,1997
tt8111088,"The Mandalorian",tvSeries,"Action, Adventure, Fantasy",8.6,603537,2019
tt10811166,"The Kashmir Files",movie,Drama,8.6,575241,2022
tt1856010,"House of Cards",tvSeries,Drama,8.6,537309,2013
tt0038650,"It's a Wonderful Life",movie,"Drama, Family, Fantasy",8.6,506999,1946
tt3322312,Daredevil,tvSeries,"Action, Crime, Drama",8.6,483926,2015
tt9362722,"Spider-Man: Across the Spider-Verse",movie,"Action, Adventure, Animation",8.6,407475,2023
tt0047478,"Seven Samurai",movie,"Action, Drama",8.6,373185,1954
tt5290382,Mindhunter,tvSeries,"Crime, Drama, Mystery",8.6,350245,2017
tt1124373,"Sons of Anarchy",tvSeries,"Crime, Drama, Thriller",8.6,330680,2008
tt1266020,"Parks and Recreation",tvSeries,Comedy,8.6,294609,2009
tt4786824,"The Crown",tvSeries,"Biography, Drama, History",8.6,263005,2016
tt0106179,"The X-Files",tvSeries,"Adventure, Crime, Drama",8.6,255512,1993
tt14452776,"The Bear",tvSeries,"Comedy, Drama",8.6,249080,2022
tt0979432,"Boardwalk Empire",tvSeries,"Crime, Drama",8.6,206362,2010
tt2788316,Shogun,tvSeries,"Adventure, Drama, History",8.6,180458,2024
tt1486217,Archer,tvSeries,"Action, Animation, Comedy",8.6,168411,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba",tvSeries,"Action, Adventure, Animation",8.6,167038,2019
tt0096657,"Mr. Bean",tvSeries,"Comedy, Family",8.6,137186,1990
tt1870479,"The Newsroom",tvSeries,Drama,8.6,126899,2012
tt1489428,Justified,tvSeries,"Action, Crime, Drama",8.6,121543,2010
tt0348914,Deadwood,tvSeries,"Crime, Drama, History",8.6,120125,2004
tt1305826,"Adventure Time",tvSeries,"Action, Adventure, Animation",8.6,116809,2010
